title,authors,published_year,average_rating,num_pages,number_of_copies,ISBN-13
Cracks in My Foundation,Marian Keyes,2005,3.81,368,2,9780120787031
A Fistful of Charms,Kim Harrison,2006,4.28,510,1,9780120788194
For a Few Demons More,Kim Harrison,2007,4.33,456,11,9780120788380
Mysteries of Pittsburgh,Michael Chabon,2005,3.64,320,8,9780120790598
Everything Is Illuminated tie-in,Jonathan Safran Foer,2005,3.9,276,18,9780120792175
Flight of the Nighthawks,Raymond E. Feist,2006,3.95,368,7,9780120792787
Into a Dark Realm,Raymond E. Feist,2007,4,319,7,9780120792809
The 3-Hour Diet (TM) On the Go (Collins Gem),Jorge Cruise,2005,3.08,192,13,9780120793198
The Best American Crime Writing 2006,Mark Bowden;Otto Penzler;Thomas H. Cook,2006,3.99,352,17,9780120815523
Last of the Wilds,Trudi Canavan,2006,4.03,576,12,9780120815914
Voice of the Gods,Trudi Canavan,2007,4.08,592,19,9780120815922
Missing Mom,Joyce Carol Oates,2006,3.54,464,12,9780120816228
Touch Not the Cat,Mary Stewart,2005,3.91,372,12,9780120823720
King of the Vagabonds,Neal Stephenson,2006,4.16,400,2,9780120833173
Odalisque,Neal Stephenson,2006,4.2,464,9,9780120833181
Black Boy,Richard Wright,2005,4.05,432,10,9780120834005
Rat Bastards,John Shea,2006,3.51,304,15,9780120837160
The Last Days of Henry VIII,Robert Hutchinson,2005,4.14,368,19,9780120837330
The Thorn Birds,Colleen McCullough,2005,4.23,673,20,9780120837551
Krakatoa,Simon Winchester,2005,3.87,464,1,9780120838590
The Professor and the Madman,Simon Winchester,2005,3.84,242,13,9780120839783
Hit Parade,Lawrence Block,2006,3.86,295,12,9780120840889
The Curtain,Milan Kundera,2006,3.96,176,16,9780120841869
Sex with the Queen,Eleanor Herman,2006,3.91,336,2,9780120846739
Brave New World,Aldous Huxley,2006,3.98,259,18,9780120850523
Queen of Babble,Meg Cabot,2006,3.69,309,16,9780120851988
Good Omens,Neil Gaiman;Terry Pratchett,2006,4.25,412,7,9780120853980
Continental Drift,Russell Banks,2007,3.87,408,20,9780120854944
The Burglar Who Thought He Was Bogart,Lawrence Block,2006,3.89,400,11,9780120872799
Next,Michael Crichton,2006,3.49,431,9,9780120872985
How to Be Popular,Meg Cabot,2006,3.54,288,19,9780120880120
The Annotated Charlotte's Web,E. B. White,2006,4.16,320,1,9780120882603
Charlotte's Web: Wilbur Finds a Friend,Jennifer Frantz,2006,4.1,32,20,9780120882816
The Autumn of the Patriarch,Gabriel Garcia Marquez,2006,3.85,255,8,9780120882867
